2025-09-05 11:45:26,497 INFO    MainThread:3170 [wandb_setup.py:_flush():81] Current SDK version is 0.21.3
2025-09-05 11:45:26,498 INFO    MainThread:3170 [wandb_setup.py:_flush():81] Configure stats pid to 3170
2025-09-05 11:45:26,498 INFO    MainThread:3170 [wandb_setup.py:_flush():81] Loading settings from /home/huathanh/.config/wandb/settings
2025-09-05 11:45:26,498 INFO    MainThread:3170 [wandb_setup.py:_flush():81] Loading settings from /home/huathanh/WorkSpaces/NLP/TEXT-TO-SPEECH/finetune-hf-vits/wandb/settings
2025-09-05 11:45:26,498 INFO    MainThread:3170 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-09-05 11:45:26,498 INFO    MainThread:3170 [wandb_init.py:setup_run_log_directory():686] Logging user logs to /home/huathanh/WorkSpaces/NLP/TEXT-TO-SPEECH/finetune-hf-vits/wandb/offline-run-20250905_114526-0vw0bvp1/logs/debug.log
2025-09-05 11:45:26,498 INFO    MainThread:3170 [wandb_init.py:setup_run_log_directory():687] Logging internal logs to /home/huathanh/WorkSpaces/NLP/TEXT-TO-SPEECH/finetune-hf-vits/wandb/offline-run-20250905_114526-0vw0bvp1/logs/debug-internal.log
2025-09-05 11:45:26,498 INFO    MainThread:3170 [wandb_init.py:init():813] calling init triggers
2025-09-05 11:45:26,498 INFO    MainThread:3170 [wandb_init.py:init():818] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-09-05 11:45:26,498 INFO    MainThread:3170 [wandb_init.py:init():854] starting backend
2025-09-05 11:45:26,713 INFO    MainThread:3170 [wandb_init.py:init():857] sending inform_init request
2025-09-05 11:45:26,727 INFO    MainThread:3170 [wandb_init.py:init():865] backend started and connected
2025-09-05 11:45:26,729 INFO    MainThread:3170 [wandb_init.py:init():936] updated telemetry
2025-09-05 11:45:26,734 INFO    MainThread:3170 [wandb_init.py:init():960] communicating run to backend with 90.0 second timeout
2025-09-05 11:45:26,846 INFO    MainThread:3170 [wandb_init.py:init():1011] starting run threads in backend
2025-09-05 11:45:26,979 INFO    MainThread:3170 [wandb_run.py:_console_start():2494] atexit reg
2025-09-05 11:45:26,979 INFO    MainThread:3170 [wandb_run.py:_redirect():2342] redirect: wrap_raw
2025-09-05 11:45:26,979 INFO    MainThread:3170 [wandb_run.py:_redirect():2411] Wrapping output streams.
2025-09-05 11:45:26,979 INFO    MainThread:3170 [wandb_run.py:_redirect():2434] Redirects installed.
2025-09-05 11:45:26,980 INFO    MainThread:3170 [wandb_init.py:init():1057] run started, returning control to user process
